,Unnamed: 0,Name,Sex,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,age,height,weight,Cluster,x_tsne,y_tsne
0,0,0.3014890087541241,-0.0971280097855975,0.4434647944065325,0.7271247653379237,7.0,1.0,188.0,41.0,37.0,0.0,5.0,8.0,155.0,3.0,4,-62.26654,-87.82103
1,1,1.3310334370855956,-0.3002084298902349,-0.5066874801138579,-0.731295449923926,8.0,1.0,188.0,41.0,48.0,0.0,17.0,32.0,393.0,3.0,4,-62.36898,-87.91488
4,4,0.124332787268466,-0.7477755093842456,0.9170280578988264,0.8515873970174442,20287.0,0.0,656.0,144.0,36.0,1.0,8.0,53.0,615.0,3.0,4,-48.275917,-35.28768
5,5,0.124332787268466,-0.7477755093842456,0.9170280578988264,0.8515873970174442,20287.0,0.0,656.0,144.0,36.0,1.0,8.0,53.0,611.0,3.0,4,-48.275524,-35.288227
6,6,0.3014890087541241,0.0934544741255052,0.9170280578988264,0.8515873970174442,20287.0,0.0,656.0,144.0,38.0,1.0,0.0,53.0,615.0,3.0,4,-48.275707,-35.288296
7,7,0.3014890087541241,0.0934544741255052,0.9170280578988264,0.8515873970174442,20287.0,0.0,656.0,144.0,38.0,1.0,0.0,53.0,611.0,3.0,4,-48.2744,-35.287003
8,8,0.3934932040460123,0.4405781696801445,0.9170280578988264,0.8515873970174442,20287.0,0.0,656.0,144.0,39.0,1.0,16.0,53.0,615.0,3.0,4,-48.275444,-35.287987
9,9,0.3934932040460123,0.4405781696801445,0.9170280578988264,0.8515873970174442,20287.0,0.0,656.0,144.0,39.0,1.0,16.0,53.0,611.0,3.0,4,-48.27415,-35.287106
10,10,0.3014890087541241,1.0192493729143033,1.2007018032477068,0.4005079978625738,94827.0,1.0,1024.0,214.0,38.0,1.0,0.0,17.0,223.0,3.0,1,59.285667,-89.2421
11,11,0.3014890087541241,1.0192493729143033,1.2007018032477068,0.4005079978625738,94827.0,1.0,1024.0,214.0,38.0,1.0,0.0,17.0,231.0,3.0,1,59.28525,-89.24145
12,12,0.3014890087541241,1.0192493729143033,1.2007018032477068,0.4005079978625738,94827.0,1.0,1024.0,214.0,38.0,1.0,0.0,17.0,225.0,3.0,1,59.28582,-89.24136
13,13,0.3014890087541241,1.0192493729143033,1.2007018032477068,0.4005079978625738,94827.0,1.0,1024.0,214.0,38.0,1.0,0.0,17.0,230.0,3.0,1,59.28498,-89.2413
14,14,0.3934932040460123,1.2606369457676496,1.2007018032477068,0.4005079978625738,94827.0,1.0,1024.0,214.0,39.0,1.0,16.0,17.0,223.0,3.0,1,59.285515,-89.241936
15,15,0.3934932040460123,1.2606369457676496,1.2007018032477068,0.4005079978625738,94827.0,1.0,1024.0,214.0,39.0,1.0,16.0,17.0,228.0,3.0,1,59.284973,-89.240685
16,16,0.3934932040460123,1.2606369457676496,1.2007018032477068,0.4005079978625738,94827.0,1.0,1024.0,214.0,39.0,1.0,16.0,17.0,225.0,3.0,1,59.284924,-89.241234
17,17,0.3934932040460123,1.2606369457676496,1.2007018032477068,0.4005079978625738,94827.0,1.0,1024.0,214.0,39.0,1.0,16.0,17.0,230.0,3.0,1,59.284515,-89.23955
18,18,0.3014890087541241,1.0192493729143033,0.7277201279220652,0.1932780738049233,57191.0,1.0,1024.0,214.0,38.0,1.0,0.0,17.0,223.0,3.0,3,-25.536741,-78.306915
